respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
cuqo0099,16,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13,3,2,5,6,2,2,2,99,1,5,1,2,2,2,#NULL!
cbaa0100,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,3,2,2,2,2,2,2,2,2,2,2,2,2,2,#NULL!
cxda0101,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,2,2,2,1,1,1,1,3,1,1,1,1,1,1,#NULL!
cdxa0106,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,11,3,1,1,3,2,6,7,2,7,7,1,1,1,1,2
czab0107,16,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,10,4,2,7,2,2,2,7,2,2,7,4,3,2,4,#NULL!
cveb0108,17,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,7,2,6,6,6,6,6,2,5,2,2,6,6,2,2,#NULL!
cbyb0113,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,4,4,4,2,2,2,2,2,2,2,2,5,2,2,#NULL!
cpjc0116,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,3,1,5,2,1,1,2,1,1,5,2,4,5,1,#NULL!
cvcd0121,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,2,1,2,1,2,1,1,6,2,2,2,1,6,1,#NULL!
cnkd0123,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,1,6,2,1,2,6,2,2,6,2,2,2,1,#NULL!
cbwd0126,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,2,2,2,1,2,2,4,5,2,2,1,2,1,2
cxzd0127,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,2,6,6,5,6,2,5,2,5,5,2,2,2,2,2
ctde0128,17,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,11,2,5,5,5,6,2,2,5,5,5,4,7,2,2,1
chpe0131,9,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,3,9,3,2,2,2,4,2,8,4,2,2,2,2,2,2,#NULL!
czwe0133,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,8,3,4,4,2,2,1,3,2,2,5,2,2,2,2,#NULL!
cnif0136,15,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,14,4,7,7,2,2,2,7,4,2,4,4,1,1,8,#NULL!
cjmf0137,15,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,2,2,2,2,3,2,3,2,2,3,3,2,2,2,#NULL!
cfqf0138,17,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,15,2,4,2,2,5,1,5,2,1,2,1,1,1,1,#NULL!
ctbg0141,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2,2,1,2,8,1,2,1,2,2,2,2,2,2,#NULL!
cpfg0142,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,99,1,6,6,2,2,6,1,6,99,99,6,7,99,1
cljg0143,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,99,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1
cdrg0145,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,11,1,2,6,2,2,1,2,2,2,5,2,1,2,2,#NULL!
czug0146,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,10,2,1,2,2,2,1,5,2,5,1,2,2,2,1,1
crch0148,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,4,2,5,2,1,2,2,2,2,5,2,2,2,1,#NULL!
cngh0149,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,17,4,1,2,1,1,1,1,2,1,3,1,1,1,1,#NULL!
cbsh0152,13,1,1,0,0,0,0,0,0,0,0,0,0,1,99,99,99,99,99,99,99,4,10,2,2,2,2,2,2,2,2,2,2,2,3,2,2,#NULL!
