respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
ctha0102,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,8,2,4,4,99,2,99,99,4,4,99,99,4,4,4,2
cpla0103,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,2,1,5,1,1,1,1,1,5,1,1,1,1,1,1
clpa0104,12,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2,1,1,1,4,1,1,5,1,1,5,1,1,5,#NULL!
chta0105,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,4,4,1,4,4,3,3,7,2,2,4,3,3,3,#NULL!
crib0109,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,9,3,2,5,2,2,2,2,2,2,2,5,4,2,1,#NULL!
cfub0112,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,4,1,1,1,4,1,1,4,1,1,4,1,1,1,#NULL!
cxbc0114,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,3,1,5,1,3,1,1,3,1,1,1,1,1,1,#NULL!
ctfc0115,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,12,2,1,5,1,4,1,1,2,1,1,4,1,1,1,#NULL!
clnc0117,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,2,2,2,2,2,2,3,1,1,2,1,5,5,1,#NULL!
chrc0118,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,99,99,7,2,2,99,4,1,99,99,4,99,7,2,#NULL!
cdvc0119,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,99,3,99,5,2,2,1,3,1,1,7,2,3,5,99,#NULL!
czyc0120,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,14,3,4,3,4,4,2,1,1,1,3,4,4,2,1,#NULL!
crgd0122,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,1,2,2,2,2,2,2,2,2,2,2,1,2,1,#NULL!
cjod0124,12,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2,99,8,3,2,8,1,6,1,1,3,1,1,1,#NULL!
cfsd0125,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,2,4,4,4,4,4,4,4,2,2,2,4,2,4,#NULL!
cphe0129,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,2,2,7,5,7,7,5,2,7,2,7,2,5,2,2
clle0130,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,3,4,4,4,4,1,1,3,1,1,1,1,1,1,#NULL!
cdte0132,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,2,2,2,2,2,1,1,2,2,2,1,1,1,3,#NULL!
cvaf0134,13,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,9,4,2,6,6,2,2,2,6,2,6,4,1,6,2,#NULL!
cref0135,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,2,1,1,1,1,1,1,1,1,2,1,1,1,1,#NULL!
cbuf0139,14,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,9,10,2,1,1,2,1,1,2,2,1,1,1,1,1,1,#NULL!
cxxf0140,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,13,2,2,2,2,2,1,2,1,5,5,1,1,5,2,2
chng0144,11,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,8,2,1,1,2,2,1,2,2,1,1,2,1,1,2,#NULL!
cvyg0147,14,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,14,3,4,2,1,2,8,8,2,2,8,2,8,8,2,#NULL!
cjkh0150,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,7,4,5,7,2,2,4,6,5,2,5,5,6,5,2,#NULL!
cfoh0151,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!
ctzh0154,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
ctzh0154,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
cpdi0155,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,#NULL!
clhi0156,14,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,1,2,2,1,1,1,2,1,1,2,1,1,1,1,#NULL!
clhi0156,15,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2,5,5,1,1,1,7,1,5,5,2,1,1,1,1
chli0157,16,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,9,3,1,1,1,7,2,1,1,5,5,7,1,2,1,2
czsi0159,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,2,2,1,1,2,1,2,1,3,3,1,1,#NULL!
cjij0163,10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,#NULL!
cfmj0164,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,1,1,2,1,2,1,1,1,1,1,1,1,2,1,#NULL!
cbqj0165,10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,1,2,1,2,1,1,1,1,1,2,1,1,1,#NULL!
ctxj0167,13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,3,5,5,2,5,2,5,1,2,5,1,1,1,1,#NULL!
chjk0170,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,13,2,5,5,5,4,2,6,2,4,5,4,2,4,2,2
czqk0172,9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2,1,1,1,4,1,1,4,1,1,4,1,1,1,#NULL!
cvuk0173,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,2,1,1,1,3,1,1,1,1,1,1,1,1,1,#NULL!
cjgl0176,12,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,2,1,1,1,1,1,2,1,1,1,2,1,1,1,#NULL!
cfkl0177,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,3,5,6,5,5,5,5,5,2,5,5,5,5,5,#NULL!
cbol0178,15,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,13,2,4,4,3,4,2,1,5,3,4,3,2,2,2,1
ctvl0180,17,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,4,5,5,5,5,5,5,1,2,5,4,2,4,1,#NULL!
czom0185,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,#NULL!
cvsm0186,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,99,2,3,3,4,2,2,3,1,1,1,2,2,2,3,#NULL!
cfin0190,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,3,2,5,2,2,1,4,1,4,5,1,1,2,5,2
clbo0195,12,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,10,3,5,5,5,1,2,4,1,1,5,1,1,2,1,#NULL!
chfo0196,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,13,2,1,4,1,1,1,4,1,1,4,1,1,1,1,#NULL!
ccaa0200,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,16,4,1,6,4,2,6,5,1,2,4,1,1,5,1,#NULL!
cuha0202,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,4,1,7,1,1,1,1,1,1,1,1,1,1,1,#NULL!
cqla0203,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,1,1,1,1,3,1,1,4,2,5,3,1,1,4,#NULL!
cmpa0204,12,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,11,2,1,2,4,2,2,2,1,1,2,2,1,2,1,#NULL!
cita0205,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,4,2,6,2,2,2,5,2,1,5,2,1,5,2,#NULL!
csib0209,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,4,4,2,2,1,2,1,2,4,3,3,4,1,#NULL!
comb0210,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,15,4,6,6,2,2,2,2,8,6,6,8,8,2,6,2
cqjc0216,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,14,2,5,4,4,3,1,4,1,5,3,3,1,1,2,2
circ0218,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,1,4,1,1,2,2,1,2,2,1,1,1,1,#NULL!
cevc0219,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,1,99,99,99,99,99,99,99,99,99,99,99,99,99,#NULL!
cokd0223,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,5,2,99,2,2,1,2,2,99,2,2,99,99,4,99,#NULL!
ckod0224,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,6,2,2,2,2,2,2,4,2,4,1,2,1,2,1,1
cmle0230,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,2,2,2,2,5,2,2,2,2,2,2,3,#NULL!
ckmf0237,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2,1,4,1,1,1,1,1,1,1,1,1,4,1,#NULL!
cyxf0240,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,13,2,4,4,6,2,1,2,4,2,2,2,4,2,2,#NULL!
cmjg0243,10,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,8,2,1,4,4,1,2,5,1,2,5,2,2,2,5,#NULL!
cing0244,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,11,3,2,2,2,8,2,2,99,2,2,2,2,1,99,#NULL!
cavg0246,12,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,3,6,6,4,6,2,1,2,6,6,2,2,6,1,2
